Season,name,position,team,total_points,bps,clean_sheets,bonus,influence,ict_index,minutes,goals_scored,threat,assists,creativity,value,selected
2021-22,Sergio Reguilón,DEF,Spurs,9,26,0,1,51.0,12.3,78,1,57.0,0,15.2,5.0,922816
2021-22,Ben Davies,DEF,Spurs,2,6,0,0,14.4,3.4,90,0,19.0,0,0.8,4.4,20876
2021-22,Eric Dier,DEF,Spurs,6,26,0,1,20.4,4.5,90,0,8.0,1,16.7,4.5,420270
2021-22,Ryan Sessegnon,DEF,Spurs,1,3,0,0,2.2,1.2,11,0,0.0,0,10.0,4.3,5579
2021-22,Liam Cooper,DEF,Leeds,0,11,0,0,15.8,1.6,90,0,0.0,0,0.4,4.5,38210
2021-22,Davinson Sánchez,DEF,Spurs,1,6,0,0,11.6,2.2,22,0,0.0,0,10.3,4.5,97080
2021-22,Emerson Aparecido Leite de Souza Junior,DEF,Spurs,1,9,0,0,19.0,3.2,90,0,6.0,0,6.5,4.9,44900
2021-22,João Pedro Cavaco Cancelo,DEF,Man City,12,43,1,3,39.2,8.1,90,0,10.0,1,32.2,6.5,2653728
2021-22,Nathan Aké,DEF,Man City,1,3,0,0,3.4,0.4,14,0,0.0,0,0.4,4.8,35319
2021-22,Aymeric Laporte,DEF,Man City,5,24,1,0,16.2,2.0,75,0,0.0,0,3.4,5.5,276055
2021-22,Ben Godfrey,DEF,Everton,1,7,0,0,16.2,1.6,90,0,0.0,0,0.0,4.8,43733
2021-22,Kyle Walker,DEF,Man City,7,30,1,1,14.6,4.1,90,0,2.0,0,24.4,5.5,581437
2021-22,John Stones,DEF,Man City,6,29,1,0,21.4,2.6,90,0,0.0,0,4.6,5.3,259239
2021-22,Seamus Coleman,DEF,Everton,1,5,0,0,10.0,4.9,90,0,38.0,0,0.8,4.9,34598
2021-22,Michael Keane,DEF,Everton,1,10,0,0,17.0,1.7,90,0,0.0,0,0.1,5.0,241952
2021-22,Lucas Digne,DEF,Everton,1,6,0,0,11.6,1.2,90,0,0.0,0,0.6,5.1,480197
2021-22,Joel Matip,DEF,Liverpool,6,25,1,0,9.4,1.2,90,0,2.0,0,0.6,5.0,227583
2021-22,Takehiro Tomiyasu,DEF,Arsenal,0,6,0,0,10.2,2.5,90,0,0.0,0,15.0,4.6,294929
2021-22,Trent Alexander-Arnold,DEF,Liverpool,15,55,1,3,46.8,14.3,90,0,45.0,2,51.1,7.7,2657544
2021-22,Konstantinos Tsimikas,DEF,Liverpool,6,25,1,0,18.8,5.2,90,0,2.0,0,31.3,3.9,1131733
2021-22,Nuno Varela Tavares,DEF,Arsenal,0,10,0,0,23.2,3.7,90,0,2.0,0,11.8,4.3,32087
2021-22,Virgil van Dijk,DEF,Liverpool,6,24,1,0,17.6,4.0,90,0,22.0,0,0.2,6.7,1520813
2021-22,Ben White,DEF,Arsenal,0,11,0,0,25.4,2.6,90,0,0.0,0,0.3,4.4,1029442
2021-22,Gabriel Magalhães,DEF,Arsenal,0,14,0,0,25.8,2.6,90,0,0.0,0,0.4,5.1,193719
2021-22,Fabian Schär,DEF,Newcastle,1,9,0,0,7.6,2.9,70,0,10.0,0,11.1,4.3,12680
2021-22,José Diogo Dalot Teixeira,DEF,Man Utd,0,5,0,0,2.6,0.3,5,0,0.0,0,0.3,4.4,6441
2021-22,Rico Henry,DEF,Brentford,7,19,0,0,41.4,8.9,90,1,35.0,0,12.5,4.5,125196
2021-22,Max Aarons,DEF,Norwich,5,22,0,0,26.8,4.2,90,0,0.0,1,15.6,4.3,104121
2021-22,Grant Hanley,DEF,Norwich,9,28,0,1,63.2,8.1,90,1,17.0,0,0.6,4.4,10831
2021-22,Jamaal Lascelles,DEF,Newcastle,5,12,0,0,46.2,10.3,90,1,56.0,0,0.6,4.4,15988
2021-22,Brandon Williams,DEF,Norwich,1,14,0,0,12.6,2.8,90,0,2.0,0,13.8,4.0,429865
2021-22,Pontus Jansson,DEF,Brentford,1,11,0,0,22.2,2.2,90,0,0.0,0,0.0,4.7,852627
2021-22,Francisco Femenía Far,DEF,Watford,5,23,0,0,32.4,4.8,90,0,2.0,1,13.5,4.3,5076
2021-22,Shane Duffy,DEF,Brighton,1,18,0,0,27.8,2.9,90,0,0.0,0,1.3,4.4,2034549
2021-22,Rayan Ait Nouri,DEF,Wolves,9,38,1,3,21.6,8.2,90,0,2.0,0,58.6,4.3,23057
2021-22,Ashley Young,DEF,Aston Villa,4,14,0,0,24.4,3.6,16,0,0.0,1,11.4,4.7,42912
2021-22,Tyrone Mings,DEF,Aston Villa,15,40,1,3,52.2,9.7,90,1,44.0,0,0.8,4.9,521709
2021-22,Jan Bednarek,DEF,Southampton,0,13,0,0,23.2,4.4,90,0,18.0,0,2.4,4.4,84823
2021-22,Kyle Walker-Peters,DEF,Southampton,0,13,0,0,14.2,5.0,90,0,14.0,0,21.4,4.8,49269
2021-22,Ben Mee,DEF,Burnley,7,23,0,0,46.6,8.9,90,1,41.0,0,1.5,4.9,44986
