,total_points,bps,influence,goals_scored,ict_index,bonus,threat,minutes,creativity,assists,value,clean_sheets,selected
60574,1,-1,1.2,0,0.9,0,6.0,24,1.6,0,102,0,86517
60575,0,0,0.0,0,0.0,0,0.0,0,0.0,0,49,0,14326
60576,3,17,15.2,0,1.9,0,1.0,90,2.3,0,54,1,240689
60577,0,0,0.0,0,0.0,0,0.0,0,0.0,0,69,0,43054
60578,1,-4,7.0,0,6.3,0,48.0,90,8.0,0,86,1,108500
60579,0,0,0.0,0,0.0,0,0.0,0,0.0,0,56,0,26275
60580,0,0,0.0,0,0.0,0,0.0,0,0.0,0,53,0,22433
60581,6,24,18.6,0,1.9,0,0.0,90,0.4,0,59,1,835869
60582,3,19,18.2,0,3.6,0,2.0,90,15.3,0,53,1,44288
60583,9,36,33.4,0,3.3,1,0.0,90,0.0,0,55,1,291749
60584,0,0,0.0,0,0.0,0,0.0,0,0.0,0,44,0,12356
60585,0,0,0.0,0,0.0,0,0.0,0,0.0,0,44,0,3248
60586,0,0,0.0,0,0.0,0,0.0,0,0.0,0,52,0,5965
60587,1,12,14.4,0,6.0,0,18.0,90,27.3,0,45,0,289535
60588,0,0,0.0,0,0.0,0,0.0,0,0.0,0,52,0,11889
60589,0,0,0.0,0,0.0,0,0.0,0,0.0,0,52,0,38007
60590,0,-1,5.2,0,1.7,0,0.0,45,11.8,0,44,0,101682
60591,0,0,0.0,0,0.0,0,0.0,0,0.0,0,43,0,80659
60592,0,0,0.0,0,0.0,0,0.0,0,0.0,0,48,0,20219
60593,1,13,34.2,0,3.5,0,0.0,45,0.3,0,39,0,232620
60594,6,26,24.0,0,5.0,0,18.0,90,8.3,0,55,1,247309
60595,2,13,17.8,0,6.5,0,27.0,90,20.0,0,53,0,18457
60596,6,20,14.2,0,5.5,0,24.0,90,16.8,0,69,1,2629895
60597,0,0,0.0,0,0.0,0,0.0,0,0.0,0,56,0,26771
60598,3,14,11.4,0,5.2,0,14.0,90,26.3,0,50,1,1047793
60599,3,11,19.6,0,3.7,0,0.0,90,17.2,0,51,1,670942
60600,0,0,0.0,0,0.0,0,0.0,0,0.0,0,63,0,10030
60601,0,0,0.0,0,0.0,0,0.0,0,0.0,0,43,0,4197
60602,1,4,1.4,0,1.2,0,8.0,9,2.1,0,59,0,61282
60603,0,4,10.6,0,1.3,0,0.0,90,2.6,0,44,0,288176
60604,6,19,10.2,0,4.0,0,22.0,90,7.9,0,64,1,615060
60605,1,10,24.2,0,7.4,0,13.0,90,37.1,0,50,0,18114
60606,1,-7,7.8,0,6.1,0,41.0,90,11.8,0,57,0,350640
60607,0,0,0.0,0,0.0,0,0.0,0,0.0,0,44,0,45061
60608,5,17,17.4,0,5.6,0,10.0,67,28.6,1,78,1,147609
60609,0,0,0.0,0,0.0,0,0.0,0,0.0,0,54,0,3927
60610,1,3,0.0,0,0.0,0,0.0,12,0.3,0,48,0,67234
60611,6,26,31.2,0,8.4,0,51.0,90,2.0,0,59,1,144196
60612,3,18,15.8,0,10.7,0,33.0,74,58.1,0,74,1,347360
60613,0,0,0.0,0,0.0,0,0.0,0,0.0,0,55,0,260
60614,0,0,0.0,0,0.0,0,0.0,0,0.0,0,48,0,7223
60615,0,5,17.6,0,4.2,0,12.0,90,12.3,0,49,0,283536
60616,0,0,0.0,0,0.0,0,0.0,0,0.0,0,51,0,25983
60617,0,0,0.0,0,0.0,0,0.0,0,0.0,0,44,0,9653
60618,0,0,0.0,0,0.0,0,0.0,0,0.0,0,52,0,27722
60619,13,39,50.6,1,12.4,2,56.0,80,17.4,1,57,1,17641
60620,2,16,22.2,0,2.2,0,0.0,90,0.0,0,45,0,225817
60621,0,0,0.0,0,0.0,0,0.0,0,0.0,0,52,0,5399
60622,2,12,22.4,0,2.6,0,4.0,90,0.0,0,54,0,83209
60623,0,0,0.0,0,0.0,0,0.0,0,0.0,0,49,0,5428
60624,1,-4,0.0,0,0.1,0,5.0,36,0.7,0,44,0,470439
60625,0,20,21.6,0,9.5,0,10.0,90,63.3,0,43,0,9318
60626,0,18,18.0,0,2.0,0,0.0,90,2.0,0,43,0,11410
60627,0,0,0.0,0,0.0,0,0.0,0,0.0,0,52,0,78950
60628,1,4,2.6,0,0.3,0,0.0,7,0.0,0,52,0,4183
60629,0,13,21.0,0,2.1,0,0.0,90,0.0,0,44,0,35530
60630,0,0,0.0,0,0.0,0,0.0,0,0.0,0,83,0,243629
60631,1,3,4.2,0,0.5,0,0.0,10,0.7,0,45,0,149181
60632,2,15,23.0,0,2.3,0,0.0,90,0.0,0,44,0,31920
60633,5,22,26.0,0,6.3,0,4.0,61,33.1,1,65,0,37826
60634,2,13,13.8,0,1.8,0,2.0,90,2.5,0,49,0,79310
60635,2,16,27.2,0,3.8,0,0.0,90,10.3,0,53,0,195814
60636,0,13,19.4,0,3.1,0,0.0,90,11.2,0,45,0,6858
60637,0,0,0.0,0,0.0,0,0.0,0,0.0,0,48,0,6754
60638,1,3,1.6,0,0.5,0,0.0,28,3.8,0,44,0,20258
60639,0,0,0.0,0,0.0,0,0.0,0,0.0,0,44,0,15741
60640,0,0,0.0,0,0.0,0,0.0,0,0.0,0,45,0,31499
60641,0,4,5.6,0,0.6,0,0.0,53,0.0,0,43,0,7245
60642,0,0,0.0,0,0.0,0,0.0,0,0.0,0,48,0,52202
60643,0,0,0.0,0,0.0,0,0.0,0,0.0,0,40,0,0
60644,0,0,0.0,0,0.0,0,0.0,0,0.0,0,44,0,15524
60645,0,0,0.0,0,0.0,0,0.0,0,0.0,0,49,0,7841
60646,2,7,10.2,0,2.7,0,14.0,66,3.2,0,55,0,60377
60647,10,30,51.0,1,8.6,1,21.0,23,14.0,1,74,0,80972
60648,12,58,71.4,2,10.4,2,28.0,79,4.5,0,95,0,478935
60649,15,61,83.2,2,13.5,3,40.0,28,11.6,1,108,0,494015
60650,0,0,0.0,0,0.0,0,0.0,0,0.0,0,40,0,0
60651,0,0,0.0,0,0.0,0,0.0,0,0.0,0,43,0,60264
60652,0,0,0.0,0,0.0,0,0.0,0,0.0,0,44,0,3450
60653,3,19,21.6,0,2.2,0,0.0,90,0.0,0,48,0,85008
60654,0,0,0.0,0,0.0,0,0.0,0,0.0,0,44,0,29340
60655,0,0,0.0,0,0.0,0,0.0,0,0.0,0,49,0,16343
60656,2,15,15.0,0,4.5,0,4.0,90,25.5,0,61,0,182036
60657,5,25,35.4,0,7.4,0,19.0,90,19.8,1,54,0,593737
60658,2,7,8.4,0,4.7,0,25.0,61,13.3,0,44,0,8771
60659,4,24,34.6,0,8.1,0,4.0,90,42.3,1,58,0,63788
60660,1,19,34.2,0,5.5,0,10.0,90,10.5,0,48,0,253258
60661,0,0,0.0,0,0.0,0,0.0,0,0.0,0,44,0,831
60662,0,0,0.0,0,0.0,0,0.0,0,0.0,0,45,0,11460
60663,1,11,12.0,0,2.3,0,0.0,90,10.7,0,45,0,60614
60664,4,26,49.2,0,15.7,0,75.0,90,32.7,1,81,0,845475
60665,0,0,0.0,0,0.0,0,0.0,0,0.0,0,50,0,949
60666,1,3,2.2,0,0.3,0,0.0,22,0.3,0,49,0,2818
60667,0,0,0.0,0,0.0,0,0.0,0,0.0,0,47,0,14466
60668,1,11,14.6,0,1.5,0,0.0,90,0.0,0,44,0,9094
60669,0,0,0.0,0,0.0,0,0.0,0,0.0,0,54,0,2415
60670,10,29,40.6,1,7.6,2,10.0,71,25.4,0,62,1,57098
60671,0,0,0.0,0,0.0,0,0.0,0,0.0,0,60,0,3503
60672,0,0,0.0,0,0.0,0,0.0,0,0.0,0,44,0,12686
60673,0,0,0.0,0,0.0,0,0.0,0,0.0,0,52,0,32907
60674,2,11,11.2,0,5.7,0,10.0,90,36.0,0,110,0,492155
60675,5,18,27.8,0,6.1,0,21.0,87,11.8,1,62,0,66539
60676,5,24,46.8,0,11.0,0,8.0,90,54.8,1,54,0,32549
60677,0,0,0.0,0,0.0,0,0.0,0,0.0,0,44,0,4403
60678,0,0,0.0,0,0.0,0,0.0,0,0.0,0,47,0,8236
60679,0,2,2.4,0,0.5,0,2.0,18,0.1,0,52,0,103137
60680,1,4,8.2,0,1.2,0,0.0,12,4.0,0,52,0,5159
60681,0,10,10.8,0,2.1,0,4.0,90,5.8,0,51,0,607182
60682,0,0,0.0,0,0.0,0,0.0,0,0.0,0,57,0,118599
60683,13,38,41.8,1,11.8,3,33.0,90,43.2,1,72,0,25429
60684,0,0,0.0,0,0.0,0,0.0,0,0.0,0,50,0,3046
60685,6,25,41.8,1,10.8,0,54.0,77,11.8,0,57,0,3532
60686,0,0,0.0,0,0.0,0,0.0,0,0.0,0,45,0,348
60687,1,7,18.4,0,9.9,0,46.0,90,34.7,0,59,0,29053
60688,1,6,12.8,0,3.7,0,23.0,90,1.3,0,58,0,125182
60689,0,0,0.0,0,0.0,0,0.0,0,0.0,0,45,0,17099
60690,0,0,0.0,0,0.0,0,0.0,0,0.0,0,49,0,57522
60691,1,8,9.4,0,1.3,0,2.0,45,1.2,0,44,0,35333
60692,1,16,19.4,0,2.1,0,0.0,90,1.6,0,44,0,4727
60693,2,10,16.4,0,4.9,0,23.0,90,9.8,0,50,0,34388
60694,3,25,46.0,0,4.6,0,0.0,90,0.0,0,50,0,27037
60695,0,0,0.0,0,0.0,0,0.0,0,0.0,0,44,0,8886
60696,2,-5,0.0,0,1.8,0,14.0,66,5.3,0,67,0,244045
60697,0,0,0.0,0,0.0,0,0.0,0,0.0,0,58,0,32171
60698,0,0,0.0,0,0.0,0,0.0,0,0.0,0,49,0,3314
60699,0,0,0.0,0,0.0,0,0.0,0,0.0,0,68,0,146641
60700,1,5,14.6,0,10.5,0,73.0,90,16.9,0,125,1,1888132
60701,1,18,38.6,0,4.0,0,0.0,90,0.9,0,55,0,907991
60702,2,16,30.8,0,3.9,0,0.0,90,8.3,0,43,0,1741616
60703,1,5,5.4,0,2.5,0,16.0,90,3.7,0,59,0,85802
60704,9,34,38.0,0,3.8,2,0.0,90,0.0,0,54,1,237091
60705,0,0,0.0,0,0.0,0,0.0,0,0.0,0,50,0,1677
60706,0,0,0.0,0,0.0,0,0.0,0,0.0,0,51,0,5756
60707,0,0,0.0,0,0.0,0,0.0,0,0.0,0,43,0,3260
60708,3,12,8.6,0,5.9,0,26.0,71,24.6,0,83,1,130323
60709,0,0,0.0,0,0.0,0,0.0,0,0.0,0,44,0,5431
60710,1,1,1.0,0,0.1,0,0.0,3,0.0,0,55,0,31909
60711,2,9,14.6,0,4.0,0,4.0,90,21.3,0,50,0,105290
60712,10,35,57.0,1,15.0,3,31.0,90,62.0,0,73,0,124403
60713,0,15,10.4,0,3.0,0,6.0,90,13.7,0,42,0,12173
60714,3,12,10.0,0,2.2,0,3.0,90,9.4,0,55,1,1815
60715,2,18,16.6,0,11.6,0,35.0,90,63.9,0,53,0,102253
60716,0,0,0.0,0,0.0,0,0.0,0,0.0,0,90,0,182472
60717,1,1,2.8,0,4.2,0,37.0,18,2.4,0,64,0,44289
60718,-4,-8,0.0,0,0.0,0,0.0,31,0.1,0,45,0,35220
60719,0,0,0.0,0,0.0,0,0.0,0,0.0,0,64,0,32004
60720,0,0,0.0,0,0.0,0,0.0,0,0.0,0,54,0,5494
60721,0,-1,4.4,0,1.7,0,2.0,18,10.8,0,48,0,16792
60722,2,11,19.2,0,2.1,0,0.0,90,1.3,0,44,0,19315
60723,1,3,1.6,0,1.4,0,2.0,19,10.7,0,68,0,151925
60724,14,43,55.4,1,14.5,2,78.0,90,11.7,2,63,1,973784
60725,2,4,0.2,0,0.3,0,2.0,60,0.6,0,57,1,31530
60726,7,25,10.4,0,6.3,2,9.0,90,43.8,1,59,0,6552
60727,2,12,17.2,0,5.2,0,16.0,72,18.3,0,45,0,113969
60728,1,7,29.4,0,3.0,0,0.0,90,0.7,0,49,0,188747
60729,0,0,0.0,0,0.0,0,0.0,0,0.0,0,48,0,6885
60730,1,14,28.2,0,2.8,0,0.0,90,0.0,0,45,0,244933
60731,1,3,0.2,0,0.0,0,0.0,2,0.1,0,57,0,143373
60732,0,9,10.6,0,2.9,0,1.0,90,17.1,0,50,0,48595
60733,0,0,0.0,0,0.0,0,0.0,0,0.0,0,50,0,1351
60734,0,0,0.0,0,0.0,0,0.0,0,0.0,0,43,0,28470
60735,2,14,13.2,0,6.0,0,10.0,90,36.5,0,58,0,72971
60736,8,32,48.0,1,10.2,0,35.0,90,18.9,0,48,1,85765
60737,1,0,0.0,0,0.2,0,2.0,29,0.8,0,63,0,16019
60738,0,0,0.0,0,0.0,0,0.0,0,0.0,0,44,0,6176
60739,0,0,0.0,0,0.0,0,0.0,0,0.0,0,45,0,408
