Season,name,position,assists,bonus,bps,clean_sheets,creativity,fixture,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,match_date,team,opp_team_rating,team_rating
2021-22,Bernardo Mota Veiga de Carvalho e Silva,MID,0,3,31,0,19.8,131,1,1,8.7,39.8,90,0,0,0,0,14,0,1117185,2.0,1.0,27.0,10,120266,161797,41531,73,0,0,14,2021-12-01 20:15:00,Man City,3,1.0
2021-22,Douglas Luiz Soares de Paulo,MID,1,0,26,0,66.6,131,2,0,10.6,39.6,90,0,0,0,0,14,0,192530,2.0,1.0,0.0,5,-4917,3319,8236,45,1,0,14,2021-12-01 20:15:00,Aston Villa,1,3.0
2021-22,Saïd Benrahma,MID,0,0,10,1,12.4,136,0,0,2.5,9.8,75,0,0,0,0,14,0,2145518,1.0,1.0,3.0,3,-125863,31627,157490,62,1,0,14,2021-12-01 19:30:00,West Ham,2,1.0
2021-22,Patson Daka,FWD,0,0,2,0,0.3,139,0,0,0.0,0.0,15,0,0,0,0,14,0,73607,2.0,2.0,0.0,1,-7136,1997,9133,71,0,0,14,2021-12-01 19:30:00,Leicester,2,3.0
2021-22,Juraj Kucka,MID,0,0,4,0,0.3,135,0,0,2.0,4.2,17,0,0,0,0,14,0,4443,2.0,1.0,15.0,1,81,479,398,55,1,0,14,2021-12-01 19:30:00,Watford,1,4.0
2021-22,Maxwel Cornet,MID,0,0,2,1,10.2,137,0,0,1.3,0.0,84,0,0,0,0,14,0,252284,0.0,0.0,4.0,3,22129,34388,12259,61,0,0,14,2021-12-01 19:30:00,Burnley,2,4.0
2021-22,Raúl Jiménez,FWD,0,0,-1,1,13.2,137,0,0,3.5,0.0,90,0,0,0,0,14,0,1203893,0.0,0.0,23.0,2,-11718,69986,81704,78,1,0,14,2021-12-01 19:30:00,Wolves,4,2.0
2021-22,Boubakary Soumaré,MID,0,0,5,0,1.1,139,2,0,0.8,4.8,45,0,0,0,0,14,0,12989,2.0,2.0,2.0,1,1631,2543,912,48,0,0,14,2021-12-01 19:30:00,Leicester,2,3.0
2021-22,Emmanuel Dennis,FWD,0,3,36,0,27.5,135,2,1,9.6,45.0,90,0,0,0,0,14,0,993333,2.0,1.0,23.0,9,66224,106882,40658,53,1,0,14,2021-12-01 19:30:00,Watford,1,4.0
2021-22,Leandro Trossard,MID,0,0,9,0,14.1,136,1,0,3.5,8.6,90,0,0,0,0,14,0,267051,1.0,1.0,12.0,2,-20485,15345,35830,65,0,0,14,2021-12-01 19:30:00,Brighton,1,2.0
2021-22,Jakub Moder,MID,0,0,9,0,16.3,136,1,0,6.2,26.2,90,0,0,0,0,14,0,59908,1.0,1.0,19.0,2,154,1688,1534,45,0,0,14,2021-12-01 19:30:00,Brighton,1,2.0
2021-22,Declan Rice,MID,0,0,18,0,16.4,136,1,0,4.9,21.6,90,0,0,0,0,14,0,527016,1.0,1.0,11.0,2,20621,35522,14901,51,1,0,14,2021-12-01 19:30:00,West Ham,2,1.0
2021-22,James Ward-Prowse,MID,0,0,21,0,41.3,139,2,0,7.0,22.8,90,0,0,0,0,14,0,174927,2.0,2.0,6.0,2,1097,6890,5793,63,1,0,14,2021-12-01 19:30:00,Southampton,3,2.0
2021-22,Joshua King,FWD,0,0,4,0,17.1,135,2,0,2.6,0.8,90,0,0,0,0,14,0,435514,2.0,1.0,8.0,2,46742,68567,21825,57,1,0,14,2021-12-01 19:30:00,Watford,1,4.0
2021-22,Adama Traoré,MID,0,0,17,1,32.1,137,0,0,6.4,9.6,90,0,0,0,0,14,0,138029,0.0,0.0,22.0,3,-7112,1411,8523,57,1,0,14,2021-12-01 19:30:00,Wolves,4,2.0
2021-22,Armando Broja,FWD,0,0,0,0,0.8,139,0,0,0.3,0.2,25,0,0,0,0,14,0,148284,2.0,2.0,2.0,1,10949,19304,8355,50,1,0,14,2021-12-01 19:30:00,Southampton,3,2.0
2021-22,Che Adams,FWD,0,3,30,0,1.6,139,2,1,11.3,40.4,90,0,0,0,0,14,0,94675,2.0,2.0,71.0,9,-1028,5608,6636,68,1,0,14,2021-12-01 19:30:00,Southampton,3,2.0
2021-22,Matej Vydra,FWD,0,0,3,0,0.3,137,0,0,0.1,0.0,18,0,0,0,0,14,0,29849,0.0,0.0,2.0,1,-1868,724,2592,52,0,0,14,2021-12-01 19:30:00,Burnley,2,4.0
2021-22,Jarrod Bowen,MID,0,0,-2,0,2.2,136,1,0,3.7,8.2,90,0,0,0,0,14,0,270907,1.0,1.0,27.0,2,59,24861,24802,64,1,0,14,2021-12-01 19:30:00,West Ham,2,1.0
2021-22,Francisco Machado Mota de Castro Trincão,MID,0,0,2,0,11.0,137,0,0,3.3,2.2,6,0,0,0,0,14,0,30991,0.0,0.0,20.0,1,-235,781,1016,57,1,0,14,2021-12-01 19:30:00,Wolves,4,2.0
2021-22,Manuel Lanzini,MID,0,0,4,0,2.7,136,1,0,0.7,2.4,14,0,0,0,0,14,0,12043,1.0,1.0,2.0,1,1491,1767,276,58,1,0,14,2021-12-01 19:30:00,West Ham,2,1.0
2021-22,Moussa Sissoko,MID,1,1,22,0,25.8,135,2,0,7.9,32.0,90,0,0,0,0,14,0,216007,2.0,1.0,21.0,6,-1548,4886,6434,45,1,0,14,2021-12-01 19:30:00,Watford,1,4.0
2021-22,Ruben Loftus-Cheek,MID,0,0,9,0,16.3,135,1,0,2.8,3.6,90,0,0,0,0,14,0,15747,2.0,1.0,8.0,2,1239,2437,1198,54,0,0,14,2021-12-01 19:30:00,Chelsea,4,1.0
2021-22,Mohamed Elyounoussi,MID,0,0,3,0,0.6,139,0,0,0.3,0.0,16,0,0,0,0,14,0,12684,2.0,2.0,3.0,1,-1053,510,1563,55,1,0,14,2021-12-01 19:30:00,Southampton,3,2.0
2021-22,Leander Dendoncker,MID,0,0,12,1,37.8,137,0,0,7.8,20.8,90,0,0,0,0,14,0,11214,0.0,0.0,19.0,3,-231,217,448,48,1,0,14,2021-12-01 19:30:00,Wolves,4,2.0
2021-22,Hee-Chan Hwang,FWD,0,0,9,1,16.4,137,0,0,6.4,12.2,84,0,0,0,0,14,0,1055879,0.0,0.0,35.0,1,-63423,23935,87358,58,1,1,14,2021-12-01 19:30:00,Wolves,4,2.0
2021-22,Johann Berg Gudmundsson,MID,0,0,8,1,1.6,137,0,0,0.9,3.4,71,0,0,0,0,14,0,5462,0.0,0.0,4.0,3,-6,118,124,54,0,0,14,2021-12-01 19:30:00,Burnley,2,4.0
2021-22,Mason Mount,MID,1,2,34,0,16.4,135,1,1,9.7,57.6,90,0,0,0,0,14,0,1111684,2.0,1.0,23.0,12,-62793,34584,97377,74,0,0,14,2021-12-01 19:30:00,Chelsea,4,1.0
2021-22,Christian Pulisic,MID,0,0,9,0,12.2,135,1,0,2.9,6.4,90,0,0,0,0,14,0,58086,2.0,1.0,10.0,2,1130,4522,3392,79,0,0,14,2021-12-01 19:30:00,Chelsea,4,1.0
2021-22,João Filipe Iria Santos Moutinho,MID,0,0,15,1,31.1,137,0,0,4.2,9.8,90,0,0,0,0,14,0,49944,0.0,0.0,1.0,3,668,3481,2813,50,1,0,14,2021-12-01 19:30:00,Wolves,4,2.0
2021-22,Oriol Romeu Vidal,MID,0,0,11,0,22.6,139,2,0,3.7,12.6,90,0,0,0,0,14,0,54277,2.0,2.0,2.0,1,792,2781,1989,45,1,1,14,2021-12-01 19:30:00,Southampton,3,2.0
2021-22,Neal Maupay,FWD,0,3,30,0,17.3,136,1,1,8.8,39.6,90,0,0,0,0,14,0,215745,1.0,1.0,31.0,8,-21292,3377,24669,64,0,1,14,2021-12-01 19:30:00,Brighton,1,2.0
2021-22,Ayoze Pérez,MID,0,0,4,0,10.3,139,0,0,2.4,6.6,29,0,0,0,0,14,0,9811,2.0,2.0,7.0,1,-25,286,311,57,0,0,14,2021-12-01 19:30:00,Leicester,2,3.0
2021-22,Jeremy Sarmiento,MID,0,0,5,0,0.3,136,1,0,0.2,1.2,12,0,0,0,0,14,0,622,1.0,1.0,0.0,1,3,37,34,45,0,0,14,2021-12-01 19:30:00,Brighton,1,2.0
2021-22,Adam Lallana,MID,0,0,11,0,6.3,136,1,0,2.3,4.2,90,0,0,0,0,14,0,19938,1.0,1.0,12.0,2,-1131,393,1524,54,0,0,14,2021-12-01 19:30:00,Brighton,1,2.0
2021-22,Saúl Ñíguez,MID,0,0,-5,0,0.4,135,1,0,0.4,0.0,45,0,0,0,0,14,0,10054,2.0,1.0,4.0,0,-142,181,323,50,0,1,14,2021-12-01 19:30:00,Chelsea,4,1.0
2021-22,Tomas Soucek,MID,0,2,26,0,11.6,136,1,1,8.9,42.2,90,0,0,0,0,14,0,381320,1.0,1.0,35.0,9,-7063,4122,11185,57,1,0,14,2021-12-01 19:30:00,West Ham,2,1.0
2021-22,Jack Cork,MID,0,0,10,1,1.9,137,0,0,1.3,10.6,90,0,0,0,0,14,0,11597,0.0,0.0,0.0,3,-50,228,278,44,0,0,14,2021-12-01 19:30:00,Burnley,2,4.0
2021-22,Imrân Louza,MID,0,0,7,0,13.6,135,2,0,3.0,6.0,72,0,0,0,0,14,0,2327,2.0,1.0,10.0,1,-27,99,126,52,1,1,14,2021-12-01 19:30:00,Watford,1,4.0
2021-22,Romelu Lukaku,FWD,0,0,2,0,1.8,135,0,0,0.4,2.2,21,0,0,0,0,14,0,836247,2.0,1.0,0.0,1,55661,66149,10488,115,0,0,14,2021-12-01 19:30:00,Chelsea,4,1.0
2021-22,João Pedro Junqueira de Jesus,FWD,0,0,11,0,36.0,135,2,0,7.1,11.0,90,0,0,0,0,14,0,14576,2.0,1.0,24.0,2,1255,2495,1240,54,1,0,14,2021-12-01 19:30:00,Watford,1,4.0
2021-22,Josh Brownhill,MID,0,0,20,1,22.7,137,0,0,5.4,30.8,90,0,0,0,0,14,0,338635,0.0,0.0,0.0,3,-3297,6970,10267,44,0,0,14,2021-12-01 19:30:00,Burnley,2,4.0
2021-22,James Maddison,MID,0,3,30,0,26.0,139,2,1,11.1,43.2,90,0,0,0,0,14,0,484447,2.0,2.0,42.0,10,153635,158872,5237,66,0,0,14,2021-12-01 19:30:00,Leicester,2,3.0
2021-22,Solomon March,MID,0,0,13,1,18.8,136,0,0,3.5,12.0,77,0,0,0,0,14,0,5985,1.0,1.0,4.0,3,-191,245,436,53,0,0,14,2021-12-01 19:30:00,Brighton,1,2.0
