Season,name,position,team,total_points,bps,influence,goals_scored,ict_index,bonus,threat,minutes,creativity,assists,value,clean_sheets,selected
2021-22,Adam Idah,FWD,Norwich,1,1,0.0,0,0.4,0,5.0,23,0.7,0,49,0,37178
2021-22,Kenny McLean,MID,Norwich,2,7,10.0,0,3.2,0,9.0,90,13.1,0,49,0,6135
2021-22,Joseph Willock,MID,Newcastle,3,5,4.0,0,1.6,0,0.0,72,12.1,0,57,1,50149
2021-22,Isaac Hayden,MID,Newcastle,1,1,0.0,0,0.1,0,4.0,17,0.0,0,45,0,37901
2021-22,Ryan Fraser,MID,Newcastle,1,1,0.0,0,1.0,0,8.0,10,4.0,0,53,0,9454
2021-22,Pierre Lees-Melou,MID,Norwich,1,3,10.2,0,3.9,0,26.0,45,3.0,0,48,0,5612
2021-22,Billy Gilmour,MID,Norwich,2,9,12.0,0,6.3,0,7.0,90,44.0,0,44,0,419836
2021-22,Allan Saint-Maximin,FWD,Newcastle,2,8,5.6,0,4.4,0,6.0,76,32.1,0,69,1,1605023
2021-22,Joelinton Cássio Apolinário de Lira,FWD,Newcastle,2,2,2.8,0,1.0,0,4.0,90,3.3,0,58,0,38099
2021-22,Donny van de Beek,MID,Man Utd,1,4,2.0,0,0.2,0,0.0,1,0.0,0,57,0,24305
2021-22,Cristiano Ronaldo dos Santos Aveiro,FWD,Man Utd,0,-2,0.4,0,0.3,0,2.0,26,0.9,0,124,0,2514042
2021-22,Mason Mount,MID,Chelsea,1,3,2.4,0,1.4,0,0.0,12,11.8,0,75,0,1171202
2021-22,Romelu Lukaku,FWD,Chelsea,1,4,3.0,0,1.8,0,4.0,8,10.5,0,115,0,777302
2021-22,Marcus Rashford,MID,Man Utd,1,1,0.8,0,0.9,0,6.0,76,2.6,0,94,0,66986
2021-22,Nemanja Matic,MID,Man Utd,2,16,12.8,0,1.3,0,0.0,90,0.6,0,45,0,28361
2021-22,Hakim Ziyech,MID,Chelsea,2,13,12.4,0,11.5,0,65.0,90,37.3,0,73,0,35644
2021-22,Timo Werner,FWD,Chelsea,2,3,0.0,0,8.1,0,82.0,81,1.3,0,86,0,120120
2021-22,Christian Pulisic,MID,Chelsea,1,4,5.8,0,2.8,0,6.0,12,16.1,0,79,0,56767
